ICAO;Operador Aéreo;Etapa;Voo;Equip;Assentos;Origem;Aeroporto Origem;Início;Partida Prevista;Chegada Prevista;dt_referencia;nr_voo;nr_etapa;Tipo;Destino;Aeroporto Destino;tx_codeshare
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2850;E295;136;SBCG;CAMPO GRANDE - CAMPO GRANDE - MS - BRASIL;30/01/2022;30/01/2022 10:50;30/01/2022 12:20;30/01/2022 00:00:00;2850;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2859;AT76;70;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 08:35;30/01/2022 10:05;30/01/2022 00:00:00;2859;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO - UBERLÂNDIA - MG - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2860;E195;118;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 13:25;30/01/2022 15:05;30/01/2022 00:00:00;2860;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBCX;REGIONAL HUGO CANTERGIANI - CAXIAS DO SUL - RS - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2863;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 19:05;30/01/2022 20:20;30/01/2022 00:00:00;2863;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBCF;TANCREDO NEVES - CONFINS - MG - BRASIL;
LAE;LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO;2;2863;B763;0;SBCT;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;30/01/2022;31/01/2022 05:35;31/01/2022 06:30;30/01/2022 00:00:00;2863;2;REGULAR DE CARGA INTERNACIONAL;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
LAE;LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO;3;2863;B763;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;31/01/2022 10:30;31/01/2022 16:15;30/01/2022 00:00:00;2863;3;REGULAR DE CARGA INTERNACIONAL;SKBO;EL DORADO INTERNATIONAL AIRPORT - BOGOTÁ - COLÔMBIA;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2865;E195;118;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 23:45;31/01/2022 00:45;30/01/2022 00:00:00;2865;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBCT;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2869;E295;136;SBGO;SANTA GENOVEVA/GOIÂNIA - GOIÂNIA - GO - BRASIL;30/01/2022;30/01/2022 10:20;30/01/2022 11:50;30/01/2022 00:00:00;2869;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2874;AT76;70;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 22:40;31/01/2022 00:05;30/01/2022 00:00:00;2874;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBLO;GOVERNADOR JOSÉ RICHA - LONDRINA - PR - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2912;A21N;214;SBSG;GOVERNADOR ALUIZIO ALVES - SÃO GONÇALO DO AMARANTE - RN - BRASIL;30/01/2022;30/01/2022 17:45;30/01/2022 21:10;30/01/2022 00:00:00;2912;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
